recnum,b_raven,b_spol,b_nacionalnost,b_komunikacijske,b_utezi_dejavnikov,b_drugo,b_brez_pripombe,b_neuporaben,a_raven,a_spol,a_nacionalnost,a_komunikacijske,a_utezi_dejavnikov,a_drugo,a_brez_pripombe,a_neuporaben
213,0,0,0,0,0,0,0,1,0.0,0,0,0,0,0,1,0
214,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
215,2,1,0,0,0,0,0,0,2.0,0,1,0,1,0,0,0
216,3,1,1,1,1,1,0,0,0.0,0,0,0,1,1,0,0
219,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
220,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
222,2,1,0,0,1,0,0,0,0.0,0,0,1,0,1,1,0
224,3,0,0,1,1,0,0,0,2.0,0,0,0,1,1,0,0
225,3,1,0,0,1,0,0,0,0.0,1,1,0,1,0,0,0
226,2,1,1,0,1,0,0,0,3.0,0,1,0,1,1,0,0
227,2,1,1,0,0,0,0,0,0.0,0,0,0,0,1,1,0
228,2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,0,0
229,3,1,1,1,0,0,0,0,0.0,0,0,1,1,1,0,0
230,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0
231,3,1,1,1,1,0,0,0,0.0,0,0,0,1,1,0,0
232,2,1,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0
233,2,1,1,0,0,0,0,0,0.0,0,0,1,1,1,0,0
234,2,1,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0
235,2,1,0,0,0,0,0,0,3.0,0,0,0,1,1,0,0
236,3,1,0,1,1,0,0,0,3.0,0,0,0,0,1,0,0
237,3,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0
238,2,1,0,0,1,0,0,0,0.0,0,0,1,0,1,0,0
242,2,1,1,0,1,0,0,0,0.0,0,0,0,0,1,0,0
244,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
245,2,1,0,0,0,0,0,0,0.0,0,0,0,0,1,1,0
246,3,1,0,0,1,1,0,0,3.0,0,0,0,1,1,0,0
247,2,1,1,0,0,0,0,0,0.0,0,0,0,1,1,0,0
248,2,1,1,0,0,0,0,0,3.0,0,1,0,1,1,0,0
249,3,1,1,0,1,1,0,0,3.0,0,0,0,1,1,0,0
250,2,1,1,0,1,0,0,0,2.0,0,1,1,1,1,0,0
251,3,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0
254,2,1,1,0,1,0,0,0,2.0,0,0,0,1,1,0,0
255,2,1,1,0,1,0,0,0,1.0,0,0,0,0,1,0,0
256,2,1,0,0,1,0,0,0,1.0,0,0,0,1,1,0,0
257,2,1,1,0,1,0,0,0,2.0,0,1,0,1,0,0,0
258,2,1,0,0,0,0,0,0,2.0,1,0,0,0,0,0,0
259,2,0,0,0,0,0,0,0,3.0,0,0,0,0,1,0,0
260,0,0,0,0,0,0,1,1,0.0,0,0,0,0,1,0,0
261,2,1,1,0,0,0,0,0,3.0,0,1,0,1,1,0,0
262,0,0,0,0,0,0,1,0,1.0,0,1,0,0,1,0,0
264,2,1,0,0,1,0,0,0,0.0,0,1,1,1,1,0,0
265,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,1
266,2,1,0,0,0,0,0,0,1.0,0,0,0,0,0,0,0
267,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
271,2,1,1,1,0,0,0,0,0.0,0,0,0,0,0,1,0
272,2,0,0,0,0,1,0,0,3.0,0,1,1,1,1,0,0
273,2,1,0,0,1,0,0,0,3.0,0,0,0,0,0,0,0
274,2,1,1,0,0,0,0,0,0.0,0,0,1,1,1,0,0
275,3,1,1,0,1,0,0,0,0.0,0,0,1,1,1,0,0
276,2,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,0
277,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0
278,3,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0
279,3,1,1,0,1,1,0,0,1.0,0,0,1,0,1,0,0
280,3,1,1,0,1,0,0,0,0.0,0,0,0,1,1,0,0
285,2,1,1,0,0,0,0,0,3.0,0,1,0,1,1,0,0
287,2,1,0,0,0,0,0,0,2.0,0,0,0,1,0,0,0
288,2,1,1,0,0,0,0,0,2.0,0,0,0,1,1,0,0
289,2,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0
290,2,1,1,1,0,0,0,0,1.0,0,1,0,0,1,0,0
291,2,1,1,0,0,0,0,0,3.0,0,1,0,0,1,0,0
292,2,1,0,0,0,1,0,0,1.0,0,0,0,1,1,0,0
293,1,1,1,0,0,0,0,0,1.0,0,1,1,1,1,0,0
294,2,1,0,0,0,0,0,0,1.0,0,0,1,0,1,0,0
295,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0
296,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0
297,2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,0
298,2,1,1,0,0,0,0,0,1.0,0,0,0,0,1,0,0
299,2,1,0,0,1,0,0,0,2.0,0,0,0,1,1,0,0
300,2,0,0,0,1,0,0,0,2.0,0,0,0,1,1,0,0
301,2,1,0,0,1,0,0,0,1.0,0,0,0,0,1,0,0
302,2,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0
304,2,1,0,0,1,0,0,0,0.0,0,0,0,1,1,0,0
305,2,1,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0
306,2,1,1,1,1,0,0,0,1.0,0,0,1,0,1,0,0
307,0,0,0,0,0,0,1,0,0.0,0,0,0,1,0,0,0
309,2,1,0,0,1,0,0,0,0.0,0,0,1,0,1,0,0
310,2,1,0,1,0,0,0,0,1.0,0,0,0,1,1,0,0
311,3,1,0,0,0,0,0,0,0.0,0,0,0,0,1,0,0
312,3,1,1,1,0,0,0,0,3.0,0,0,0,1,1,0,0
314,3,1,1,1,1,1,0,0,3.0,0,1,0,1,1,0,0
316,2,1,1,0,1,0,0,0,2.0,0,0,0,1,1,0,0
317,2,1,1,0,0,1,0,0,3.0,0,0,1,1,1,0,0
318,2,1,0,0,1,0,0,0,0.0,0,0,1,0,1,0,0
319,2,1,1,0,0,0,0,0,1.0,0,0,0,0,0,1,0
320,2,1,1,0,1,0,0,0,3.0,0,0,1,1,1,0,0
321,2,1,0,1,1,0,0,0,0.0,0,0,0,1,1,0,0
323,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
324,3,1,0,0,0,0,0,0,3.0,0,0,0,1,1,0,0
325,2,1,1,1,1,0,0,0,0.0,0,0,0,0,0,1,1
326,2,1,0,0,0,0,0,0,2.0,0,1,0,1,0,0,0
327,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
328,3,1,1,0,0,0,0,0,0.0,0,0,0,0,1,1,0
329,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,1,1
330,2,1,1,0,0,0,0,0,1.0,1,0,0,0,1,0,0
336,0,0,0,0,0,0,1,0,0.0,1,1,0,0,0,0,0
337,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
338,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
339,2,1,0,0,0,0,0,0,0.0,0,0,0,0,0,1,1
340,2,1,1,0,0,0,0,0,2.0,0,1,0,1,0,0,0
341,2,1,0,0,1,0,0,0,0.0,0,0,0,0,0,1,0
342,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0
343,1,1,0,0,0,0,0,0,3.0,0,0,0,1,1,0,0
344,2,1,1,0,0,0,0,0,1.0,0,0,0,0,1,1,0
347,3,1,1,0,0,0,0,0,3.0,0,0,0,1,1,0,0
348,2,1,1,0,1,1,0,0,0.0,0,0,1,0,0,0,0
349,2,1,1,0,1,0,0,0,2.0,0,0,1,1,1,0,0
350,2,1,1,0,1,0,0,0,2.0,0,0,0,1,1,0,0
351,2,1,1,0,1,0,0,0,3.0,0,0,0,1,1,0,0
352,2,1,1,0,1,0,0,0,3.0,0,0,0,1,1,0,0
353,3,1,1,0,1,0,0,0,0.0,0,0,0,0,0,1,0
354,2,1,0,0,1,0,0,0,0.0,0,0,0,0,1,0,0
355,2,1,0,0,0,0,0,0,3.0,0,0,1,1,0,0,0
356,2,1,1,0,1,0,0,0,0.0,0,0,0,1,1,0,0
357,3,1,0,0,0,0,0,0,3.0,0,0,1,1,0,0,0
358,2,1,0,1,1,0,0,0,2.0,0,0,0,1,1,0,0
362,3,1,1,0,0,0,0,0,2.0,0,0,0,0,1,0,0
363,3,1,1,1,0,1,0,0,1.0,0,0,0,1,1,0,0
364,2,1,0,0,0,0,0,0,0.0,0,0,0,1,1,0,0
365,2,1,0,0,0,0,0,0,1.0,0,1,0,1,1,0,0
366,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
367,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
368,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,1
369,2,1,1,0,0,0,0,0,2.0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,1,0
371,2,1,1,0,0,0,0,0,2.0,0,0,0,0,0,0,0
372,3,1,1,0,0,0,0,0,0.0,0,0,0,1,1,1,0
373,3,1,1,1,1,0,0,0,1.0,0,0,0,0,1,0,0
